geoid10,tractce10,aland10,awater10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi,name,population,median_hh_income,households,hh_no_vehicle,pct_no_vehicle,dist_venue_km,dist_28x28_km,dist_stop_km,venue_access,a_base,a_plan,access_change,ces_disadvantage_decile,hpi_disadvantage_decile,venue_within_3km,project_within_3km,project_closer_than_stop
06037127712,127712,567627,0,43.4795819734662,80.1059001512859,9.0,66.5339141257001,81.0262228946041,3560.0,-0.508975855,0.209242619,1.0,Yes,0.790757381,77.8,3560.0,"Census Tract 1277.12, Los Angeles County, California",3560.0,42662.0,1580.0,235.0,0.1487341772151898,3.0918973191537082,2.945045089248077,9.162503056890932,0.24438540901774666,0.09840095441072716,0.25348252741785504,0.15508157300712788,7,8,False,True,True
06037127606,127606,546172,0,51.4358454440495,89.3721633888048,9.0,81.3814561294337,86.0564800806858,3322.0,-0.244113525,0.348780488,2.0,No,0.651219512,78.5,3322.0,"Census Tract 1276.06, Los Angeles County, California",3322.0,60904.0,1150.0,61.0,0.0530434782608695,2.037406716860272,2.0375865236855444,9.595328679126803,0.3292282177586303,0.09438121556059301,0.3292087294312481,0.23482751387065512,8,6,True,True,True
06037127604,127604,435348,0,54.1910094139994,91.780131114473,10.0,81.2445550715619,91.036308623298,3157.0,-0.399340252,0.266238768,2.0,No,0.733761232,83.3,3157.0,"Census Tract 1276.04, Los Angeles County, California",3157.0,44798.0,1203.0,205.0,0.170407315045719,2.9329768312397477,2.2303949836637735,10.061338881587792,0.25426033330706943,0.09040496911857163,0.30955966841734117,0.21915469929876955,9,7,True,True,True
06037124903,124903,311404,0,32.4816309263475,63.2753403933434,7.0,46.0983198506534,69.2637418053454,3499.0,-0.13075066,0.41322208,2.0,No,0.5867779200000001,77.2,3499.0,"Census Tract 1249.03, Los Angeles County, California",3499.0,61429.0,1508.0,172.0,0.1140583554376657,5.200782543399099,2.2144471125808995,2.238892585122525,0.16126996762118792,0.3087475035737163,0.31109549013456744,0.0023479865608511674,4,5,False,True,True
06037124204,124204,324350,0,59.2982592740349,95.2218860312658,10.0,86.6085874299938,94.3141704488149,2192.0,-0.499905456,0.214505777,1.0,Yes,0.7854942229999999,77.1,2192.0,"Census Tract 1242.04, Los Angeles County, California",2192.0,43385.0,929.0,39.0,0.0419806243272335,3.253573872122084,0.6976211420555524,0.5804002131318264,0.23509642245877008,0.632751116894836,0.632751116894836,0.0,9,7,False,True,False
06037124203,124203,324262,0,45.4175653551246,82.476046394352,9.0,79.5146235220909,75.6177508825013,2384.0,-0.618547485,0.158279846,1.0,Yes,0.841720154,76.2,2384.0,"Census Tract 1242.03, Los Angeles County, California",2384.0,52561.0,814.0,70.0,0.085995085995086,3.484487656218365,1.0868685514535643,0.9679613693959315,0.22299091371415888,0.5081400557709888,0.5081400557709888,0.0,7,8,False,True,False
06037124105,124105,324531,0,36.9698569316501,70.5370650529501,8.0,64.4555071561917,67.1583459404942,2538.0,-0.505863881,0.211296534,1.0,Yes,0.788703466,76.0,2538.0,"Census Tract 1241.05, Los Angeles County, California",2538.0,45764.0,929.0,105.0,0.1130247578040904,4.37194405468262,1.5826791463424303,1.4817042813672718,0.18615234816682785,0.40294889584872673,0.40294889584872673,0.0,5,7,False,True,False
06037124103,124103,323950,0,58.6676564200139,94.8688855269793,10.0,83.0242688238955,95.7639939485628,1950.0,-0.474620884,0.226700899,1.0,Yes,0.773299101,77.4,1950.0,"Census Tract 1241.03, Los Angeles County, California",1950.0,43787.0,611.0,68.0,0.1112929623567921,4.847046288860326,2.2976373716683933,2.1892642994639253,0.17102652358083428,0.31355193740703374,0.31355193740703374,0.0,9,7,False,True,False
06037122121,122121,411958,0,57.7057782106903,94.351991931417,10.0,92.3957685127567,85.8799798285426,2829.0,-0.459521841,0.234017972,1.0,Yes,0.765982028,80.8,2829.0,"Census Tract 1221.21, Los Angeles County, California",2829.0,53125.0,720.0,24.0,0.0333333333333333,6.675605123901926,5.1590282612887,5.040201922859039,0.13028288764959886,0.16555737916898397,0.16555737916898397,0.0,9,7,False,False,False
06037121222,121222,1339081,0,68.6459687537103,98.7897125567322,10.0,98.0584940883634,90.7337367624811,5139.0,-0.891436201,0.067008986,1.0,Yes,0.932991014,80.4,5139.0,"Census Tract 1212.22, Los Angeles County, California",5139.0,55192.0,1218.0,105.0,0.0862068965517241,9.450624494596825,7.375437123324517,7.264870792816386,0.0956880615619688,0.12099402701723716,0.12099402701723716,0.0,10,10,False,False,False
06037121221,121221,502183,0,49.6132815646588,87.4432677760968,9.0,95.818294959552,66.036308623298,2420.0,-0.245106511,0.34762516,2.0,No,0.65237484,78.0,2420.0,"Census Tract 1212.21, Los Angeles County, California",2420.0,64335.0,517.0,17.0,0.0328820116054158,8.90988722462796,6.777091772177215,6.667248689408966,0.10090932190578408,0.13042488127212234,0.13042488127212234,0.0,8,6,False,False,False
06037121101,121101,472269,0,52.5961262011218,90.59505799294,10.0,91.3627878033603,78.6434694906707,2862.0,-0.404893629,0.263157895,2.0,No,0.736842105,76.2,2862.0,"Census Tract 1211.01, Los Angeles County, California",2862.0,59267.0,927.0,64.0,0.0690399137001078,7.713601595753628,6.485379341936326,6.366345253638067,0.11476310788495618,0.1357525293165051,0.1357525293165051,0.0,8,7,False,False,False
06037120108,120108,376444,10489,54.4067964122362,92.0574886535552,10.0,68.03982576229,98.1845688350983,4732.0,-0.648048393,0.144929397,1.0,Yes,0.855070603,83.0,4732.0,"Census Tract 1201.08, Los Angeles County, California",4732.0,39032.0,1356.0,134.0,0.0988200589970501,7.030967959649743,6.274230938804204,10.072495717909305,0.12451799148301088,0.09031387552334215,0.13747157718976516,0.04715770166642301,9,8,False,False,True
06037481605,481605,765502,0,34.1255231654977,66.0993444276349,7.0,77.2495332918482,52.231467473525,2831.0,-0.016832715,0.479845956,2.0,No,0.520154044,80.2,2831.0,"Census Tract 4816.05, Los Angeles County, California",2831.0,55948.0,1076.0,64.0,0.0594795539033457,7.782057832924903,5.038322552517738,4.956785621571999,0.11386852819972215,0.16787577454165614,0.16787577454165614,0.0,5,4,False,False,False
06037124902,124902,338586,0,33.1499692094089,64.309127584468,7.0,47.4051026757934,70.095814422592,2706.0,-0.294168943,0.322464698,2.0,No,0.677535302,77.6,2706.0,"Census Tract 1249.02, Los Angeles County, California",2706.0,31852.0,1534.0,324.0,0.211212516297262,5.3284562118391365,2.210944711858748,2.221162205764707,0.15801642083407672,0.3104469555151132,0.3114348236227092,0.0009878681075959905,5,6,False,True,True
06037124104,124104,324443,0,51.4683535388867,89.4225920322743,9.0,71.0516490354698,93.3182047402925,2492.0,-0.425448348,0.2521181,2.0,No,0.7478819,81.6,2492.0,"Census Tract 1241.04, Los Angeles County, California",2492.0,43816.0,996.0,101.0,0.1014056224899598,4.617110534730974,1.96187736397273,1.856046031756469,0.17802747405751274,0.3501344127093777,0.3501344127093777,0.0,8,7,False,True,False
06037123902,123902,664413,0,29.0965460571976,57.0347957639939,6.0,73.3914125700062,42.4104891578417,2668.0,0.020446449,0.501797176,3.0,No,0.498202824,79.3,2668.0,"Census Tract 1239.02, Los Angeles County, California",2668.0,70592.0,1074.0,41.0,0.0381750465549348,4.821785445974273,1.7036341495568836,1.6547314623865133,0.17176861106956348,0.37668593383868443,0.37668593383868443,0.0,4,4,False,True,False
