stop_id,stop_name,stop_lat,stop_lon,location_type,feed
bus_629,Central / 91 Fwy Westbound Off-Ramp,33.874258,-118.248546,,bus
bus_630,La Brea / Exposition,34.024897,-118.355274,,bus
bus_631,Central / Victoria,33.867778,-118.248817,,bus
bus_633,Central / Mahalo,33.870817,-118.248532,,bus
bus_636,Century / Concourse,33.945278,-118.375131,,bus
bus_637,Century / Inglewood,33.945321,-118.360996,,bus
bus_639,Ventura Pl / Ventura,34.144293,-118.394281,,bus
bus_641,Gridley / 184th,33.86439,-118.091026,,bus
bus_643,Atlantic / Avenida Cesar Chavez,34.03743,-118.146824,,bus
bus_644,Broadway / Thomas,34.073907,-118.205399,,bus
bus_646,Riggin / Atlantic,34.036955,-118.146117,,bus
bus_648,Cesar E Chavez / Mission,34.054095,-118.225522,,bus
bus_650,Cesar E Chavez / Soto,34.04682,-118.208148,,bus
bus_652,Cesar E Chavez / Vignes,34.056569,-118.232191,,bus
bus_653,Hooper / 42nd,34.006787,-118.252236,,bus
bus_655,Alameda / Cesar E Chavez,34.057821,-118.237265,,bus
bus_656,Cesar E Chavez / Alameda,34.057838,-118.236635,,bus
bus_657,Hooper / Vernon,34.004039,-118.252234,,bus
bus_658,Belvedere County Park,34.040492,-118.158584,,bus
bus_659,Cesar E Chavez / Boyle,34.05095,-118.217385,,bus
bus_661,Cesar E Chavez / Dangler,34.04047,-118.164977,,bus
bus_664,Cesar E Chavez / Evergreen,34.043496,-118.200607,,bus
bus_665,Cesar E Chavez / Ford,34.040451,-118.168853,,bus
bus_666,Cesar E Chavez / Fresno,34.041714,-118.196592,,bus
bus_667,Hooper / 48th,33.99945,-118.25223,,bus
bus_669,Cesar E Chavez / Hazard,34.04041,-118.180019,,bus
bus_670,Cesar E Chavez / Humphreys,34.040444,-118.171536,,bus
bus_671,Cesar E Chavez / Indiana,34.040347,-118.19213,,bus
bus_674,Cesar E Chavez / Marianna,34.040425,-118.175395,,bus
bus_675,Cesar E Chavez / McDonnell,34.040462,-118.166667,,bus
bus_676,Mednik / Cesar E Chavez,34.040741,-118.161991,,bus
bus_677,Cesar E Chavez / Mott,34.045095,-118.204265,,bus
bus_679,Cesar E Chavez / Record,34.040404,-118.18193,,bus
bus_680,Cesar E Chavez / New High,34.058181,-118.239699,,bus
bus_681,Cesar E Chavez / Saint Louis,34.048404,-118.211694,,bus
bus_682,Cesar E Chavez / State,34.050041,-118.21535,,bus
bus_683,Cesar E Chavez / Vignes,34.056828,-118.232139,,bus
