geoid10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019
06037120300,59.6885385371501,95.5370650529501,10,92.0721841941506,89.4351991931417,5238
06037120400,52.8307495539203,90.7337367624811,10,82.3148724331052,87.8719112455875,6769
06037121010,54.8448992057367,92.3978819969743,10,93.6901057871811,79.2738275340393,4934
06037121020,62.6635986371281,96.8986384266263,10,93.3042937149969,92.3474533535048,3610
06037121101,52.5961262011218,90.59505799294,10,91.3627878033603,78.6434694906707,2862
06037121102,46.9944960694946,84.4301563287948,9,98.0958307405103,55.4210791729702,2479
06037121210,42.5358717777011,78.7191124558749,8,97.4984443061606,49.1679273827534,2926
06037121221,49.6132815646588,87.4432677760968,9,95.818294959552,66.036308623298,2420
06037121222,68.6459687537103,98.7897125567322,10,98.0584940883634,90.7337367624811,5139
06037121600,53.0875828040164,90.9480584972264,10,96.8014934660859,70.1336359051942,2735
06037121801,45.6977824578704,82.8542612203732,9,70.6285003111388,82.7786182551689,3127
06037121802,59.3856743686468,95.29752899647,10,89.9439950217797,91.5279878971256,3216
06037121900,68.1779766748769,98.6636409480585,10,96.5650280024891,94.0746343923348,3761
06037122000,59.4478735386768,95.3353504790721,10,98.070939639079,77.1180030257186,5892
06037122120,47.6708258928929,85.0983358547655,9,83.6963285625389,76.6389309127585,5011
06037122121,57.7057782106903,94.351991931417,10,92.3957685127567,85.8799798285426,2829
06037122122,62.1399975844065,96.5708522440746,10,98.0087118855009,81.4044377206253,2728
06037122200,58.7920149491334,94.9697428139183,10,98.8176726820162,73.0837115481594,3469
06037122410,70.0395522529101,99.0922844175492,10,92.9807093963908,98.9788199697428,3457
06037122420,67.8579398175641,98.5501765002521,10,94.0136901057872,96.7599596570852,4503
06037123010,53.4176079943388,91.2632375189107,10,92.2464219041693,78.9082198688855,4027
06037123020,58.7156068674557,94.9319213313162,10,90.9271935283136,89.3595562279375,3250
06037123103,56.6626682234212,93.7216338880484,10,91.4499066583696,85.5143721633888,3808
06037123104,36.2261520124773,69.4780635400908,7,70.8400746733043,60.8799798285426,4416
06037123203,54.617788722927,92.2339889056984,10,93.2918481642813,79.4629349470499,4094
06037123204,50.9361976883626,88.7796268280383,9,86.471686372122,80.4841149773071,3129
06037123205,56.5197285228709,93.5955622793747,10,91.5992532669571,84.9974785678265,2492
06037123206,58.3046189741118,94.6419566313666,10,94.2377100186683,83.963691376702,2572
06037123301,57.7440856969929,94.3645990922844,10,93.26695706285,84.6570852244075,4530
06037123303,65.226432409371,97.8946041351488,10,94.1132545115121,94.3267776096823,3087
06037123304,59.6747536532202,95.499243570348,10,97.3615432482887,79.4881492687847,4362
06037123410,50.8227111646518,88.6913767019667,9,92.1344119477287,74.1805345436208,4181
06037123420,48.2088772706263,85.7539082198689,9,91.4996888612321,70.2218860312658,4408
06037123510,40.3717198562632,75.6303580433686,8,80.9334163036714,63.4770549672214,4795
06037123520,42.9757845831486,79.4629349470499,8,73.105164903547,74.8865355521936,2816
06037123601,31.976934459426,62.38023197176,7,72.7069072806472,49.5335350479072,4803
06037123602,38.6253422851495,73.0458900655572,8,71.3752333540759,66.2632375189107,3659
06037123700,39.5461502480466,74.2183560262229,8,73.0678282514001,67.2592032274332,4435
06037123800,40.8798022397521,76.4120020171457,8,77.5108898568762,67.4357034795764,6018
06037123901,44.0116208517791,80.8497226424609,9,84.2688238954574,68.8603126575895,4696
06037123902,29.0965460571976,57.0347957639939,6,73.3914125700062,42.4104891578417,2668
06037124000,27.3554562361214,53.6560766515381,6,57.6104542626011,46.6464952092789,5219
06037124102,40.3945070756687,75.6681795259707,8,80.522713130056,63.8804841149773,3551
06037124103,58.6676564200139,94.8688855269793,10,83.0242688238955,95.7639939485628,1950
06037124104,51.4683535388867,89.4225920322743,9,71.0516490354698,93.3182047402925,2492
06037124105,36.9698569316501,70.5370650529501,8,64.4555071561917,67.1583459404942,2538
06037124201,53.259657914071,91.0741301059002,10,87.7162414436839,83.4215834594049,3348
06037124203,45.4175653551246,82.476046394352,9,79.5146235220909,75.6177508825013,2384
06037124204,59.2982592740349,95.2218860312658,10,86.6085874299938,94.3141704488149,2192
06037124300,45.9537753230104,83.1694402420575,9,81.1076540136901,75.4664649520928,2988
06037124400,24.0844661226103,46.9238527483611,5,56.07965152458,38.8174483106404,4858
06037124500,28.3841754575453,55.6984367120524,6,58.0336029869322,49.0670700958144,2925
06037124600,33.3711723724938,64.7251638930913,7,70.5911636589919,54.1729702471004,2691
06037124700,24.678575481797,48.1341401916288,5,67.2308649657747,35.3126575895108,5539
06037124902,33.1499692094089,64.309127584468,7,47.4051026757934,70.095814422592,2706
06037124903,32.4816309263475,63.2753403933434,7,46.0983198506534,69.2637418053454,3499
06037125100,29.7340906562179,58.1694402420575,6,63.1985065339141,49.6469994957136,5892
06037125200,35.9593043190863,69.0872415532022,7,88.9981331673927,47.9828542612204,3907
06037125310,45.9640891374041,83.2072617246596,9,87.4548848786559,69.7806354009077,4313
06037125320,49.0726491624951,86.8381240544629,9,87.5793403858121,75.8194654563792,5106
06037125401,32.5855993947145,63.4140191628845,7,83.1736154324829,44.9319213313162,4966
06037125402,32.9301168111162,63.8678769541099,7,81.9539514623522,46.4069591527988,4889
06037125501,41.0898919117714,76.7776096822995,8,89.6577473553205,57.576903681291,3052
06037125502,28.2150732479539,55.345436207766,6,91.176104542626,30.4336863338376,3488
06037125600,33.2723047782257,64.5234493192133,7,94.3497199751089,37.4180534543621,2811
06037127102,60.5734447028232,96.041351487645,10,83.3478531425016,97.3146747352496,5779
