geoid10,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi
06037574901,0.581574407,0.830808729,4,No,0.16919127099999998,80.8,3697
06037574902,-0.478699203,0.224261874,1,Yes,0.775738126,82.0,5549
06037575001,0.387505504,0.720667522,3,No,0.27933247800000005,81.6,3688
06037575002,0.198841367,0.602695764,3,No,0.397304236,74.3,4843
06037575101,-0.655833373,0.142490372,1,Yes,0.857509628,76.5,4339
06037575102,-0.640508244,0.1478819,1,Yes,0.8521181,76.4,4151
06037575103,-0.193222659,0.377278562,2,No,0.622721438,76.9,5171
06037575201,-0.856251149,0.075609756,1,Yes,0.924390244,72.5,4772
06037575202,-0.838955141,0.079589217,1,Yes,0.920410783,75.9,4175
06037575300,-0.846127051,0.077920411,1,Yes,0.922079589,83.5,4360
06037575401,-1.018927854,0.037355584,1,Yes,0.9626444160000001,77.04,4788
06037575402,-0.867632053,0.072657253,1,Yes,0.927342747,79.82,4129
06037575500,,,,,,,93
06037575801,-0.804921448,0.088831836,1,Yes,0.911168164,77.35,2254
06037575802,-0.971917536,0.049293967,1,Yes,0.950706033,77.1,5664
06037575803,-0.830085157,0.081386393,1,Yes,0.9186136069999999,76.5,3229
06037575901,-0.581259796,0.177663671,1,Yes,0.822336329,77.6,3553
06037575902,-0.329475315,0.302439024,2,No,0.697560976,73.7,5208
06037576001,0.418033704,0.740179718,3,No,0.25982028199999996,78.3,5174
06037576200,-0.572140351,0.182284981,1,Yes,0.817715019,73.1,5324
06037576301,-0.477549152,0.225032092,1,Yes,0.774967908,81.6,4165
06037576302,-0.813126865,0.086392811,1,Yes,0.913607189,70.4,4077
06037576401,-0.990559246,0.044672657,1,Yes,0.955327343,75.41428571,5021
06037576402,-0.811233588,0.08703466,1,Yes,0.91296534,75.6,5015
06037576403,-0.668424041,0.137612323,1,Yes,0.862387677,75.3,5140
06037576501,-0.527818638,0.198973042,1,Yes,0.801026958,77.6,2986
06037576502,-0.290889731,0.324903723,2,No,0.675096277,75.2,4658
06037576503,-0.071640542,0.446084724,2,No,0.553915276,70.9,4469
06037576601,0.209215554,0.609242619,3,No,0.390757381,79.1,4293
06037576602,0.273453534,0.649165597,3,No,0.350834403,76.7,4423
06037576700,0.315612193,0.675609756,3,No,0.32439024400000005,83.1,3935
06037576801,-0.071428637,0.446213094,2,No,0.553786906,78.8,4070
06037576802,0.323558512,0.680487805,3,No,0.31951219500000005,79.9,4061
06037576901,-0.816904396,0.085109114,1,Yes,0.914890886,75.0,5357
06037576903,-0.561957222,0.186521181,1,Yes,0.813478819,76.4,3644
06037576904,0.019388626,0.501283697,3,No,0.498716303,77.9,3157
06037577000,0.101591752,0.550834403,3,No,0.449165597,77.5,7288
06037577100,0.613586826,0.848395379,4,No,0.15160462100000005,79.1,7185
