geoid10,z_poverty,z_income_inv,z_no_vehicle,z_rent_burden,z_overcrowd,z_ces,n_components,disadvantage_index,disadvantage_decile,disadvantage_quartile,poverty_rate,median_hh_income,pct_no_vehicle,pct_rent_burden_30plus,pct_overcrowded,ces_percentile,pct_hispanic,pct_nh_black,pct_nh_asian,pct_nh_white,population
06037213402,0.5998649175437347,0.8829771437525868,0.7632322464508883,0.766089853617846,2.26390386872056,0.5633964341822044,6,0.97324407737797,9,4,0.2157873042044517,42766.0,0.1550339715873996,0.6379880873593646,0.3724521309450277,81.0388300554715,0.6825200741198271,0.0520897673460984,0.2069178505250154,0.0500308832612723,4857
06037214000,-1.2002553456635425,-1.3727589516216379,0.09816836416714259,-0.42427886298899237,-0.8852424226775009,-0.5303415627301927,6,-0.719118130252454,2,1,0.0247837269113864,120625.0,0.0975073313782991,0.4824355971896955,0.0307917888563049,52.3323247604639,0.0731821370119242,0.0035071311667056,0.0308627542670095,0.8594809445873276,4277
06037214100,-1.0124498914131361,-0.7990830705480945,-0.9296313886526602,-0.31319775656673937,-1.1690560110194688,-1.2945651697076281,6,-0.9196638813179545,2,1,0.044711014176663,100824.0,0.0086047940995697,0.4969512195121951,0.0,32.274331820474,0.0883315158124318,0.0160850599781897,0.037350054525627,0.8446019629225736,3668
06037214400,-0.39635575297383263,-0.12936479031497328,-0.6060642037856938,-0.5969125000624389,-1.108234759848519,-0.8166252017990494,6,-0.6089262014640845,3,1,0.1100823045267489,77708.0,0.0365926814637072,0.4598765432098765,0.0065986802639472,44.8184568835098,0.1138545953360768,0.025034293552812,0.0521262002743484,0.7983539094650206,2916
06037214501,-0.47463447352535,-0.4091190606874866,-0.14803993783473177,0.12646196984551913,-0.8670684959786256,-0.40545272689478495,6,-0.3629754541792433,4,2,0.1017764618800888,87364.0,0.0762108262108262,0.5544041450777202,0.0327635327635327,55.6101865859808,0.1110288675055514,0.0740192450037009,0.2305699481865284,0.5321983715766099,2702
06037214502,0.049843054146999834,0.38097815423886083,-0.23021953498997033,0.7266527885776707,-0.4991812293218299,-0.519774045851812,6,-0.015283468866680147,5,2,0.1574266792809839,60093.0,0.0691024622716441,0.632834613829357,0.0726767275615568,52.6096822995461,0.0747398297067171,0.1203405865657521,0.2836329233680227,0.4764427625354778,5285
06037214503,-0.42307507548131396,-0.05942622272184496,-0.07586479311857633,0.690246417870978,-0.8528992985882724,-0.294974141348075,6,-0.16933218556451743,5,2,0.1072472238457042,75294.0,0.0824538258575197,0.6280771789753826,0.0343007915567282,58.5098335854766,0.0502630040911747,0.0829924021040327,0.3196960841613092,0.4541203974284044,3422
06037214600,-0.7938424781056816,-0.8583019736799727,0.1453924364003127,-0.736996965046277,-0.9524277253511813,-1.446353139415275,6,-0.7737549741996791,2,1,0.0679065743944636,102868.0,0.1015921152388172,0.4415708812260536,0.023502653525398,28.2904689863843,0.1443558539655896,0.0079731430969366,0.0453210239194292,0.7385648342425514,2383
06037214700,-0.6898945055081064,-0.6760966499048344,0.04725519450201641,-0.9941511236297254,-1.1690560110194688,-0.9131738787333452,6,-0.7325194957155773,2,1,0.0789360789360789,96579.0,0.093103448275862,0.4079670329670329,0.0,42.2844175491679,0.1143330571665285,0.0704225352112676,0.0650372825186412,0.7033968516984258,2414
06037214800,-0.744644258369264,-1.0257605158043646,-0.5405027535704441,-1.4744559752507715,-1.0700174993282991,-0.7604252256731163,6,-0.9359677046660434,2,1,0.0731268011527377,108648.0,0.0422636103151862,0.3452027695351137,0.0107449856733524,46.2934947049924,0.0618556701030927,0.0497689299680056,0.0583007465339495,0.7863490934944899,2813
